State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,843839,364133,478043,290472,481605,71446,420202,373657,5806,7201,266,16535,17487,58657,383192,154970,145829,100751,26672,805121,39083,188957,652832,48053,175003,283130
Alaska,66700,32252,34317,23826,40222,2504,31372,2460,19898,4058,1105,532,7002,3927,29430,6230,12212,10308,3306,61379,4918,10531,55726,2893,21587,18128
Arizona,1077928,499892,575810,389964,613313,72400,752607,58060,100505,22170,2159,103860,33545,502464,381627,174875,150186,144824,52835,861228,214325,148588,923843,68815,225458,357443
Arkansas,529780,233765,297213,188949,295755,45094,340819,145449,4169,4199,2116,19585,14810,57828,304883,84497,102015,65656,14759,500622,30983,117579,413409,36466,112671,164560
California,5596045,2584981,3015284,1946806,3252329,399438,3082118,485144,65862,553112,20584,1156008,220064,3029961,1366148,1091962,692927,690218,351173,3826571,1770363,743471,4854815,336951,1210763,1914063
Colorado,635620,294493,338825,205990,384779,43956,469813,50127,11408,13817,856,63043,25914,245355,304584,82861,87562,90362,51084,533439,101693,90213,543766,43837,191552,169377
Connecticut,346319,151438,194080,105986,206477,32618,196323,73305,1658,9318,103,51786,13058,119830,138413,57585,64524,41311,26235,290126,55247,66407,278034,14972,83396,118604
Delaware,100620,41824,58824,34189,57290,9019,54506,35646,413,2164,10,4635,3506,16251,44209,15610,18126,10690,5486,90498,10224,18033,82390,5547,23754,31770
Florida,2882767,1309233,1578980,886606,1673351,326470,1843398,779097,13544,55992,1583,121494,75067,861767,1156441,479494,559593,391327,181227,2231110,659753,487768,2394046,178554,619351,971825
Georgia,1644020,727147,916527,590780,938923,114878,715959,731043,6204,40308,1148,112220,34604,260854,588959,281476,276028,179503,77626,1449519,196346,271233,1375876,105997,340574,548681
Hawaii,143310,63978,78751,43568,85309,13837,35109,2295,693,34791,27940,2399,39798,20023,31289,15799,27626,23931,12555,112764,30093,24441,118235,8201,32372,49075
Idaho,232096,105868,126264,79637,136985,15387,202794,1901,4938,3692,470,9617,8720,49432,166760,26277,34842,35384,12614,209455,22395,38136,193695,15892,71887,56274
Illinois,1715613,758575,954372,592947,986425,134079,901107,526222,5110,65878,226,164994,45491,401663,685560,252819,274376,220298,107318,1443876,263877,263158,1446843,101281,395324,548583
Indiana,924275,413114,515948,328460,538838,60042,657975,169003,2993,19896,377,43745,32952,107348,601186,131729,166974,110934,34775,857642,67299,173000,755507,51239,241121,275738
Iowa,359717,160374,199734,113299,214767,32337,295222,30450,2567,7030,339,10551,14787,38864,272329,38276,62328,53171,16221,335690,23857,67094,294612,23934,115402,86009
Kansas,365281,164019,201665,126967,212323,26954,272772,40995,5479,9195,224,17428,19901,73111,223619,43253,57950,49078,18631,328312,37522,66986,297290,27830,106340,89113
Kentucky,783034,349766,430482,257247,455629,68307,633019,103899,2182,6288,454,13872,23517,40606,609380,157005,143546,90784,24220,749577,30753,198270,582760,40584,166654,272366
Louisiana,822942,345035,474621,292457,460884,67689,327059,447412,6581,11642,296,10367,16708,38826,305027,145586,146912,86618,27536,792699,29435,164297,656011,57267,169673,261487
Maine,172031,75851,95900,48388,104961,18138,154286,6093,2268,2097,90,1095,5744,4994,151662,22160,41074,24894,10218,163812,7953,47826,123885,8312,46256,55799
Maryland,530667,230896,301683,162352,315161,53291,220120,238648,2255,25152,199,27617,17730,61097,191888,85086,95497,66090,39286,446828,85164,99211,434147,29106,128083,176636
Massachusetts,696672,303677,395178,195956,422506,81015,441617,91249,3245,48214,283,81570,32442,183102,363019,113041,124053,86849,67452,560034,138472,156985,543984,23374,173046,248402
Michigan,1577303,718432,861330,524531,948720,109333,986139,455584,13515,34041,660,33269,61789,121178,906660,201642,286793,234621,68571,1463543,116102,315689,1270203,75242,393128,533156
Minnesota,581403,265293,316467,180626,346534,54680,389141,91376,20411,36187,265,16977,26418,61014,353954,69757,98226,86328,33942,505640,77348,109435,471383,33971,179588,152719
Mississippi,640480,275796,364323,237264,348597,54029,234145,381812,3693,4315,108,7317,8190,22086,221420,115552,104199,76372,18122,626805,14104,133192,506750,43420,112366,216126
Missouri,870409,387433,481909,290423,508684,71685,609589,188581,4830,14028,1009,17330,32964,54810,579300,126571,155864,115196,41745,825441,45085,187711,681591,52970,218985,262674
Montana,143040,66716,76320,43505,87686,12024,112806,1227,21160,1011,85,1593,5340,7454,107873,12479,25595,24624,9520,140245,3305,27247,116237,10301,43926,37869
Nebraska,219839,96637,123423,74811,126404,18584,164595,25172,5973,5017,250,10508,9336,41280,137187,24908,34110,33060,10934,194552,25753,37090,182763,18745,66632,48762
Nevada,378443,176611,203051,132662,219219,26674,252896,48426,6482,17756,3401,35837,15077,155201,140021,59894,60816,55174,20627,292414,87548,52501,326694,23028,86534,123297
New Hampshire,107324,47991,59451,30682,65847,11597,96413,3361,306,2820,18,2361,2857,6928,92025,12530,22148,17319,8132,100413,7874,24148,83626,4572,29615,34492
New Jersey,853357,368015,483718,284850,477664,90256,439466,215847,3733,49398,381,110929,31716,288358,286745,142070,165117,93985,65235,646309,207082,142030,705289,46449,161322,298432
New Mexico,392687,181711,211401,140762,218673,32961,244793,10045,61231,3510,214,61280,12227,228759,89965,68398,59389,52851,18056,338095,55682,66933,325225,28900,80390,122514
New York,2814003,1239289,1573535,892952,1632620,289593,1361332,661061,17350,244563,967,433634,99701,848216,1046113,527944,479198,311714,209481,2083811,724326,499262,2317689,167572,561016,1002282
North Carolina,1560630,687947,872341,534397,904812,123074,813666,526893,32174,26632,593,111994,48600,259661,687630,280781,244784,203246,64195,1390155,169276,288367,1272690,96402,369998,487816
North Dakota,78956,34245,44608,21887,46236,10743,58254,2703,13874,1419,68,584,2059,2910,56323,8700,12336,12026,4050,75088,3965,14054,64702,5657,26297,16335
Ohio,1728275,764171,956858,593891,1005496,126747,1150037,443143,5768,24422,341,27053,70057,100619,1095799,233507,329488,228192,72119,1649229,79349,357184,1370138,87886,419065,549581
Oklahoma,603355,269380,333125,214081,341635,47114,371620,76459,56893,9481,1494,24651,62774,91315,318214,84331,109445,80125,23041,556595,44752,130170,472217,45026,138077,178316
Oregon,583218,272591,312967,174900,366991,42449,453236,21759,14672,20435,4490,41897,26858,119852,387120,71863,89629,106179,41845,505305,77992,112410,471397,31401,173735,179174
Pennsylvania,1609882,704007,904192,503894,942107,158862,1028339,370110,4774,51866,678,87044,58854,222014,931357,229523,348832,174557,83837,1481176,119103,356934,1245263,79352,365178,552627
Rhode Island,133470,59127,74715,40423,78847,14081,84426,16542,1329,5189,94,20130,5591,39647,69602,23854,22918,15452,8238,109750,23965,29633,103860,5584,30168,48228
South Carolina,789966,341724,446522,268761,454168,66000,375561,358934,4180,5696,418,23426,19097,69613,335544,142166,142444,91286,27778,743389,46459,147916,638727,45504,172565,259432
South Dakota,108600,49989,58608,35324,60809,12410,66518,3358,32582,974,21,943,4233,5128,63405,12639,18752,14988,5640,104205,3754,19458,88780,7790,31563,24528
Tennessee,1071603,471702,596486,359995,622684,88308,702376,291246,4264,11687,286,30973,28846,91966,643932,192703,206129,119997,38764,998832,68441,238256,828549,61770,241005,353437
Texas,4281638,1912673,2362800,1678240,2293161,290959,2868896,675264,27147,115089,3292,489392,94935,2426085,1004013,839063,553451,421378,164795,3311052,957852,649256,3623583,359053,901225,1196248
Utah,329187,152628,176515,119839,194034,16095,259773,7423,9464,10300,5878,25197,10403,86184,203767,33527,40063,47268,19719,279410,50585,40251,289570,23453,101205,80586
Vermont,69682,31614,37851,18049,44453,6839,63682,1469,458,1180,5,242,2139,1222,62975,8489,13660,9400,5873,66288,3134,17895,51360,4130,22365,20152
Virginia,862373,370180,490989,266116,518468,75930,472069,288072,3471,36615,586,29574,28026,94542,419380,149049,140924,101339,51770,757823,100300,160489,697482,53196,221522,269976
Washington,852223,390474,465513,266361,525768,64598,583492,55288,24443,55278,6424,80905,49542,196490,484583,112736,124204,142761,58129,700174,154371,164245,687575,43798,233923,275560
West Virginia,316495,141876,174240,91203,196536,28741,286574,16294,881,2278,55,850,9761,4592,284149,60705,73131,33709,9432,312385,4693,85923,230821,17333,65188,123036
Wisconsin,691941,309422,380429,225333,409750,57227,484472,124375,12643,21740,124,21072,26274,83091,430196,81966,124409,93203,31948,643690,46688,123714,566069,42971,207560,178947
Wyoming,60395,27002,33834,19426,36975,4289,51640,1092,3203,506,30,1601,2619,8252,46614,5293,10425,9986,3227,57404,3068,10473,50042,5582,19622,13408